category_url,product_name,brand,product_url,price,review_count,review_date,review_text
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.06.09,낱개포장으로 되어있어서 사무실에서 가볍게 뜯어서 먹습니다. 할인할때 좋은가격에 구매해서 만족스럽습니다. 은박을 덧데는 포장이 변경되었네요. 습기나 외부환경에 영향을 받지 않을것 같아요.
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.05.29,"정착하고 꾸준히 먹고있는 비타민이예요:)
하루도 빠짐없이
매일 아침마다 한포씩 꼭 챙겨먹고있어요"
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.05.29,"작년부터 매일매일 챙겨 먹는 덴푸스 트루비타민 1년가까이 먹었더니 이제는 습관처럼 먹어요
하루에 필요한 비타민이 한봉지에 루테인까지 들어있어요
인증받은 프리미엄 비타민이라 믿고 먹어요
눈주변떨림이나 안구건조증 이유없이 피곤한것까지 많이 개선되어 진거  같아
꾸준히 먹고 있어요
한봉지에 다들어 있고 휴대하기도 편하고 약사이즈도 적당해서 목넘김도 편해요"
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.22,자주 먹고 있습니다.
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.21,비타민 자주 구매해요
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.21,"종합비타민은 늘 덴푸스로
구매합니다~"
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.20,"건강에 좋겠죠
기대해요"
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.20,"나이 40이 넘어가면서..  선물받은 비타민과 여러가지 건강보조제들을 귀찮아서 안먹게 되더라구요~ 한번에 털어넣으려고 구매.
열심히 챙겨먹고싶네요~"
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.20,다먹고 재구매해요.. 루테인도 있어서 좋아요
https://www.kurly.com/categories/032009?filters=&page=1,트루바이타민 I (30일분),덴프스,https://www.kurly.com/goods/1001051171,25400,136,2025.09.19,간편해서 주문했어요.
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.22,컬리  쇼핑백   디자인   깔끔하고  좋네요
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.21,선물용으로 쓰기 좋아요
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.21,종이백 깔끔하고 예뻐요
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.21,잘 받았습니다 ㅋㅎ
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.21,유용하게 잘 썼어요
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.20,제니쿠키 선물 할려고 샀는데 종이백이 없어 샀어요
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.20,금액채우기용 ㅎㅎ ㅋㅋ
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.20,쇼핑백 실용적이고 좋습니다
https://www.kurly.com/categories/032009?filters=&page=1,멀티비타민키즈 + V - Complex15 (30일분),비타바움,https://www.kurly.com/goods/1000963113,95200,205,2025.09.20,쇼핑백  심플하네요
